Type,Title,Correct,Choice 1,Choice 2,Choice 3,Choice 4
MCQ,"En la nivelación de recursos, ¿cuál es el objetivo matemático ideal respecto al valor eficaz (RMS) y el valor medio (DC) de los recursos?",1,Que el valor eficaz (RMS) sea lo más bajo posible y se aproxime al valor medio (DC),Que el valor eficaz (RMS) sea significativamente mayor que el componente de valor DC,Que el valor DC se reduzca gradualmente mientras el valor RMS se mantiene constante,Que el valor eficaz (RMS) presente una fluctuación cíclica respecto al componente DC
MCQ,¿Qué indica una Tasa Interna de Rentabilidad (TIR) superior al coste de capital o interés de referencia?,3,Que el riesgo de la operación es inasumible,Que el valor actual neto del proyecto es negativo,Que la inversión genera valor y es aceptable,Que el proyecto debe ser rechazado por pérdidas
MCQ,¿Qué significan las siglas WBS en el contexto de la gestión de proyectos?,4,Work Basic System,World Business Structure,Work Balance Sheet,Work Breakdown Structure
MCQ,"En un diagrama de GANTT, ¿cómo se calcula matemáticamente la holgura ($H$) de una actividad?",4,$H = EF - ES$ o $H = LF - LS$,$H = LF + LS$ o $H = EF + ES$,$H = ES - LF$ o $H = LS - EF$,$H = LF - EF$ o $H = LS - ES$
MCQ,¿Qué limitación principal presenta el indicador económico conocido como Período de retorno (pay-back)?,2,Sobrevalora el valor de los flujos de caja obtenidos en los últimos años,Ignora los flujos de caja producidos tras la recuperación de la inversión,Requiere una tasa de descuento muy elevada para su correcto cálculo,Utiliza una metodología exclusivamente bayesiana para proyectos industriales
MCQ,"Según el análisis de riesgos, ¿qué caracteriza a los riesgos clasificados como ""Predecibles""?",2,Se derivan directamente de los requisitos del software y poseen una probabilidad de éxito garantizada,"Se pueden intuir a partir de la experiencia previa, aunque no se puede estimar con exactitud su impacto",Se pueden identificar plenamente evaluando tanto su probabilidad de ocurrencia como su daño potencial,Se originan de forma espontánea y resultan imposibles de detectar antes de que ocurra el incidente
MCQ,"¿Cómo se define el ""Beneficio Real"" en la compresión de proyectos?",1,Beneficio de la compresión menos el coste de la compresión,Coste de la actividad menos el margen de beneficio neto,Diferencia entre el coste normal y el coste de ejecución,Ingresos totales del proyecto menos los costes directos
MCQ,¿Qué representa la desviación típica $\sigma$ en el contexto del diagrama de PERT?,4,Mide el nivel de recursos asignados y establece la carga de trabajo de los operarios,Calcula la duración mínima del proyecto y define la secuencia lógica de las actividades,Determina el margen de beneficio esperado y establece el límite superior del presupuesto,Expresa la dispersión de los tiempos estimados y define la curvatura de la distribución
MCQ,"Al calcular las fechas en un diagrama de GANTT yendo de fin a principio (calculando $LF$ y $LS$), ¿qué ocurre cuando de una actividad salen dos o más flechas?",1,La casilla $LF$ corresponde a la menor de entre las fechas $LS$ entrantes a dicha actividad,La casilla $LF$ corresponde a la suma de todas las fechas $LS$ entrantes a dicha actividad,La casilla $LF$ corresponde a la media de todas las fechas $LS$ entrantes a dicha actividad,La casilla $LF$ corresponde a la mayor de entre las fechas $LS$ entrantes a dicha actividad
MCQ,"En la técnica de compresión de un proyecto, ¿qué actividades se deben comprimir primero?",4,Las actividades del camino crítico que presenten mayor complejidad técnica y duración estimada,Las actividades con mayor holgura que permitan reducir la duración total sin elevar los gastos,Las actividades de la ruta crítica que tengan el mayor incremento de coste por unidad de tiempo,Las actividades del camino crítico que tengan menor incremento de coste por unidad de tiempo
